app_id,shadow_cnt,live_cnt,diff
TJ-027,1,1,0
TJ-028,1,1,0
TJ-029,1,1,0
TJ-030,1,1,0
TJ-034,1,1,0
TJ-035,1,1,0
TJ-036,1,1,0
TJ-037,1,1,0
TJ-038,1,1,0
TJ-039,1,1,0
TJ-040,1,1,0
TJ-041,1,1,0
TJ-044,1,1,0
TJ-045,1,1,0
TJ-046,1,1,0
TJ-047,1,1,0
TJ-048,1,1,0
TJ-049,1,1,0
TJ-050,1,1,0
TJ-051,1,1,0
TJ-053,1,1,0
TJ-054,1,1,0
TJ-055,1,1,0
TJ-060,1,1,0
TJ-062,1,1,0
TJ-066,1,1,0
TJ-069,1,1,0
TJ-072,12,12,0
TJ-073,1,1,0
TJ-075,1,1,0
TJ-076,1,1,0
TJ-077,2,2,0
TJ-079,1,1,0
TJ-081,1,1,0
TJ-082,1,1,0
TJ-083,1,1,0
TJ-084,1,1,0
TJ-085,1,1,0
TJ-086,5,5,0
TJ-088,1,1,0
TJ-092,1,1,0
TJ-093,1,1,0
TJ-095,1,1,0
TJ-096,1,1,0
TJ-097,1,1,0
TJ-098,1,1,0
TJ-103,1,1,0
TJ-104,1,1,0
TJ-107,1,1,0
TJ-109,1,1,0
TJ-111,1,1,0
TJ-112,1,1,0
TRFB-007,87,87,0
TSPX-014,35,35,0
TSPX-027,39,39,0
TSPX-030,1,1,0
TSPX-033,1,1,0
TSPX-039,1,1,0
TSYH-003,2,2,0
TSYH-005,1,1,0
TSYH-006,2,2,0
TSYH-007,3,3,0
TSYH-008,2,2,0
WX-002,1,1,0
WYYL-001,22,22,0
WYYL-101,1,1,0
WYYL-103,1,1,0
WYYL-104,3,3,0
WYYL-303,2,2,0
XHWJ-004,1,1,0
YC-103,1,1,0
YC-104,2,2,0
YC-110,1,1,0
YC-117,1,1,0
YC-120,8,8,0
YC-129,3,3,0
YC-139,1,1,0
YC-150,1,1,0
YC-165,1,1,0
YC-187,3,3,0
YC-195,16,16,0
YC-196,1,1,0
YC-198,1,1,0
YC-202,12,12,0
YDWD-002,1,1,0
YDWD-003,259,259,0
